ticker,sector,split,days,base_trades,base_win_rate,base_pf,base_pnl,base_max_dd,vol_trades,vol_win_rate,vol_pf,vol_pnl,vol_max_dd,delta_wr,delta_pf,delta_pnl
PPL,Utilities,oos,24,14,57.1,1.8,2.49,-1.95,13,69.2,5.81,5.33,-0.54,12.1,4.01,2.84
TFC,Financial Services,full,60,25,68.0,1.75,4.54,-2.61,24,75.0,3.71,7.88,-1.24,7.0,1.96,3.34
TFC,Financial Services,is,36,21,76.2,3.56,7.15,-1.11,20,80.0,8.47,8.77,-0.75,3.8,4.91,1.62
TFC,Financial Services,oos,24,4,25.0,0.21,-2.61,-2.17,4,50.0,0.49,-0.89,-1.24,25.0,0.28,1.72
MO,Consumer Defensive,full,60,46,47.8,1.21,3.25,-6.48,42,73.8,4.34,16.48,-1.83,26.0,3.13,13.23
MO,Consumer Defensive,is,36,29,55.2,1.88,6.75,-3.92,26,84.6,10.19,14.47,-0.84,29.4,8.32,7.72
MO,Consumer Defensive,oos,24,17,35.3,0.54,-3.5,-6.48,16,56.2,1.6,2.01,-1.83,21.0,1.05,5.5
SCHW,Financial Services,full,60,30,50.0,1.29,3.07,-5.39,24,75.0,4.78,12.1,-1.25,25.0,3.49,9.03
SCHW,Financial Services,is,36,21,42.9,1.07,0.56,-5.39,16,75.0,5.44,8.35,-1.25,32.1,4.37,7.79
SCHW,Financial Services,oos,24,9,66.7,1.98,2.51,-1.61,8,75.0,3.83,3.75,-0.75,8.3,1.86,1.24
LYB,Basic Materials,full,60,19,52.6,1.03,0.38,-5.8,16,93.8,19.29,21.17,-1.16,41.1,18.27,20.79
LYB,Basic Materials,is,36,12,58.3,1.64,4.58,-3.99,10,100.0,14271.95,14.27,0.0,41.7,14270.32,9.69
LYB,Basic Materials,oos,24,7,42.9,0.47,-4.2,-2.3,6,83.3,6.96,6.9,-1.16,40.5,6.49,11.1
APH,Technology,full,60,17,52.9,2.13,9.78,-3.27,13,84.6,9.58,19.04,-2.22,31.7,7.45,9.26
APH,Technology,is,36,10,70.0,3.86,8.12,-1.11,8,100.0,12592.71,12.59,0.0,30.0,12588.84,4.47
APH,Technology,oos,24,7,28.6,1.29,1.66,-3.27,5,60.0,3.91,6.45,-2.22,31.4,2.62,4.79
MRNA,Healthcare,full,60,15,20.0,0.19,-22.54,-26.36,11,36.4,0.39,-10.6,-12.39,16.4,0.19,11.94
MRNA,Healthcare,is,36,10,10.0,0.03,-24.88,-24.23,6,33.3,0.14,-12.95,-10.26,23.3,0.11,11.94
MRNA,Healthcare,oos,24,5,40.0,2.05,2.34,-0.92,5,40.0,2.05,2.34,-0.92,0.0,0.0,0.0
UNH,Healthcare,full,60,32,53.1,1.2,2.74,-4.86,26,80.8,5.33,14.94,-1.49,27.6,4.13,12.21
UNH,Healthcare,is,36,22,54.5,0.95,-0.45,-2.9,17,82.4,5.38,8.58,-1.18,27.8,4.43,9.02
UNH,Healthcare,oos,24,11,45.5,1.08,0.54,-2.64,10,70.0,1.9,3.73,-1.49,24.5,0.82,3.19
UAL,Industrials,full,60,14,35.7,1.05,0.38,-3.19,12,58.3,2.43,6.29,-3.06,22.6,1.38,5.91
UAL,Industrials,is,36,13,38.5,1.27,1.74,-3.19,11,63.6,3.5,7.64,-3.06,25.2,2.23,5.9
UAL,Industrials,oos,24,2,0.0,0.0,-3.07,-1.37,1,0.0,0.0,-1.35,0.0,0.0,0.0,1.72
MDT,Healthcare,full,60,44,40.9,0.63,-6.82,-8.11,40,60.0,1.33,3.52,-4.13,19.1,0.71,10.34
MDT,Healthcare,is,36,30,40.0,0.69,-3.73,-7.52,26,57.7,1.44,3.05,-4.13,17.7,0.75,6.77
MDT,Healthcare,oos,24,14,42.9,0.51,-3.09,-4.44,14,64.3,1.13,0.47,-1.99,21.4,0.62,3.56
JNJ,Healthcare,full,60,36,41.7,0.86,-1.55,-3.12,25,64.0,4.75,7.54,-0.56,22.3,3.89,9.1
JNJ,Healthcare,is,36,24,45.8,1.01,0.08,-1.5,19,68.4,4.86,5.16,-0.53,22.6,3.85,5.07
